id,text,parent
N05CF01,Zopiklon,
N05CF02,Zolpidem,
N05CM01,Metakvalon,
N05CM02,Klometiazol,
N05CM03,Bromisoval,
N05CM04,Karbromal,
N05CM05,Skopolamin,
N05CM06,Propiomazin,
N05CM07,Triclofos,
N05CM08,Etklorvynol,
N05CM09,Valeriana,
N05CM10,Hexapropymat,
N05CM11,Bromider,
N05CM12,Apronal,
N05CM13,Valoktamid,
N05CM15,Methylpentynol,
N05CM16,Niaprazine,
N05CM17,Melatonin,
N05CX,"Kombinationer,exkl.barbiturater",
N05CX01,"Meprobamat, kombinationer",
N05CX02,"Metakvalon, kombinationer",
N05CX03,"Metylpentynol, kombinationer",
N05CX04,"Klometazol, kombinationer",
N05CX05,"Emepronium, kombinationer",
N05CX06,"Dipiperonylaminoetanol, kombinationer",
N06AA,Icke-selektiva monoaminåterupptagshämmare,
N06AA01,Desipramin,
N06AA02,Imipramin,
N06AA03,Imipraminoxid,
N06AA04,Klomipramin,
N06AA05,Opipramol,
N06AA06,Trimipramin,
N06AA07,Lofepramin,
N06AA08,Dibenzepin,
N06AA09,Amitriptylin,
N06AA10,Nortriptylin,
N06AA11,Protriptylin,
N06AA12,Doxepin,
N06AA13,Iprindol,
N06AA14,Melitracen,
N06AA15,Butriptylin,
N06AA16,Dosulepin,
N06AA17,Amoxapin,
N06AA18,Dimetakrin,
N06AA19,Amineptine,
N06AA21,Maprotilin,
N06AA23,Quinupramine,
N06AB02,Zimelidin,
N06AB07,Alaproklat,
N06AB09,Etoperidon,
N06AF,"MAO-hämmare, icke-selektiva",
N06AF01,Isokarboxazid,
N06AF02,Nialamid,
N06AF03,Fenelzin,
N06AF04,Tranylcypromin,
N06AF05,Iproniazide,
N06AF06,Iproclozid,
N06AG,"MAO-hämmare, selektiva typ A hämmare",
N06AG02,Moklobemid,
N06AG03,Toloxatone,
N06AX01,Oxitriptan,
N06AX02,Tryptofan,
N06AX03,Mianserin,
N06AX04,Nomifensin,
N06AX05,Trazodon,
N06AX06,Nefazodon,
N06AX07,Minaprin,
N06AX08,Bifemelan,
N06AX09,Viloxazin,
N06AX10,Oxaflozan,
N06AX13,Medifoxamine,
N06AX14,Tianeptine,
N06AX15,Pivagabine,
N06AX19,Gepiron,
N06AX23,Desvenlafaxin,
N06BA01,Amfetamin,
N06BA02,Dexamfetamin,
N06BA03,Metamfetamin,
N06BA05,Pemolin,
N06BA06,Fenkamfamin,
N06BA07,Modafinil,
N06BA08,Fenozolone,
N06BA10,Fenetylline,
N06BX,Övriga psykostimulantia,
N06BX01,Meklofenoxat,
N06BX02,Pyritinol,
N06BX03,Piracetam,
N06BX04,Cyprodenat,
N06BX05,Fipexid,
N06BX06,Citikolin,
N06BX07,Oxiracetam,
N06BX08,Pirisudanol,
N06BX09,Linopirdin,
N06BX10,Nizofenon,
N06BX11,Anirazetam,
N06BX12,Acetylcarnitin,
N06BX13,Idebenon,
N06BX14,Prolintan,
N06BX15,Pipradol,
N06BX16,Pramiracetam,
N06BX17,Adrafinil,
N06BX18,Vinpocetin,
N06C,"Psykoleptika-psykoanaleptika, kombinationer",
N06CA,Antidepressiva i kombination med psykoleptika,
N06CA01,Amitriptylin och neuroleptika,
N06CA02,Melitracen och neuroleptika,
N06CB,Psykostimulantia i kombination med neuroleptika,
N06DA01,Takrin,
N06DA02,Donepezil,
N06DA04,Galantamin,
N06DX02,Ginkgo biloba,
N07A,"Kolinergika, parasympatomimetika",
N07AA,Acetylkolinesterashämmare,
N07AA01,Neostigmin,
N07AA02,Pyridostigmin,
N07AA03,Distigmin,
N07AA30,Ambenon,
N07AA51,Neostigmin kombinationer,
N07AB,Kolinestrar,
N07AB01,Karbakol,
N07AB02,Betanekol,
N07AX,Övriga parasympatomimetika,
N07AX01,Pilokarpin,
N07AX02,Kolinalfoscerat,
N07BA01,Nikotin,
N07BA02,Bupropion,
N07BB,Medel vid alkoholberoende,
N07BB01,Disulfiram,
N07BB02,Kalciumkarbamid,
N07BB03,Akamprosat,
N07BB04,Naltrexon,
N07BC01,Buprenorfin,
N07BC02,Metadon,
N07BC04,Lofexidin,
N07CA02,Cinnarizin,
N07CA03,Flunarizin,
N07CA04,Acetylleucine,
N07CA52,Cinnarizin kombinationer,
N07XA,Gangliosider och gangliosidderivat,
N07XX01,Tirilazid,
N07XX03,Xaliproden,
N07XX06,Tetrabenazin,
P01A,Medel mot amöbiasis och övriga protozosjukdomar,
P01AA,Hydroxikinolinderivat,
P01AA01,Broxikinolin,
P01AA02,Kliokinol,
P01AA04,Klorkinaldol,
P01AA05,Tilbrokinol,
P01AA52,"Kliokinol, kombinationer",
P01AB,Nitroimidazolderivat,
P01AB01,Metronidazol,
P01AB02,Tinidazol,
P01AB03,Ornidazol,
P01AB04,Azanidazole,
P01AB05,Propenidazole,
P01AB06,Nimorazol,
P01AB07,Secnidazole,
P01AC,Dikloracetamidderivat,
P01AC01,Diloxanidfuroat,
P01AC02,Clefamid,
P01AC03,Etofamid,
P01AC04,Teklosan,
P01AR,Arsenic compounds,
P01AR01,Arsthinol,
P01AR02,Difetarsone,
P01AR03,Glycobiarsol,
P01AR53,"Glycobiarsol, kombinationer",
P01AX,Övriga medel mot amöba och protozosjukdomar,
P01AX01,Kiniofon,
P01AX02,Emetin,
P01AX04,Fankinon,
P01AX05,Mepakrin,
P01AX06,Atovakvon,
P01AX07,Trimetrexat,
P01AX08,Tenonitrozole,
P01AX09,Dihydroemetin,
P01AX52,"Emetin, kombinationer",
P01BA,Aminokinoliner,
P01BA01,Klorokin,
P01BA02,Hydroxiklorokin,
P01BA03,Primakin,
P01BA05,Meflokin,
P01BA06,Amodiaquine,
P01BB,Biguanider,
P01BB01,Proguanil,
P01BB02,Cycloguanil embonate,
P01BB51,"Proguanil, kombinationer",
P01BC,Metanolkinoliner,
P01BC01,Kinin,
P01BC02,Meflokin,
P01BD,Diaminopyrimidiner,
P01BD01,Pyrimetamin,
P01BD51,Pyrimetamin kombinationer,
P01BE,Artemisinin och derivat,
P01BE01,Artemisinin,
P01BE02,Artemeter,
P01BE03,Artesunat,
P01BE04,Artemotil,
P01BE05,Artenimol,
P01BE52,Artemeter + lumifantrin,
P01BX,Other antimalarials,
P01BX01,Halofantrine,
P01C,Medel mot leishmaniasis och trypanosomiasis,
P01CA,Nitroimidazolderivat,
P01CA02,Benznidazol,
P01CB,Antimonföreningar,
P01CB01,Meglumin,
P01CB02,Natriumstiboglukonat,
P01CC,Nitrofuranderivat,
P01CC01,Nifurtimox,
P01CC02,Nitrofural,
P01CD,Arsenikföreningar,
P01CD01,Melarsoprol,
P01CD02,Acetarsol,
P01CX,Övriga medel mot leishmaniasis och trypanosomiasis,
P01CX01,Pentamidin,
P01CX02,Suraminnatrium,
P01CX03,Eflornitin,
P02,Medel vid maskinfektion,
P02B,Medel mot trematoder,
P02BA,Kinolinderivat och besläktade substanser,
P02BA01,Prazikvantel,
P02BA02,Oxamnikin,
P02BB,Organiska fosforföreningar,
P02BB01,Metrifonat,
P02BX,Övriga medel mot trematoder,
P02BX01,Bitionol,
P02BX02,Niridazol,
P02BX03,Stibofen,
P02BX04,Triclabendazol,
P02C,Medel mot nematoder,
P02CA,Bensimidazolderivat,
P02CA01,Mebendazol,
P02CA02,Tiabendazol,
P02CA03,Albendazol,
P02CA04,Ciclobendazol,
P02CA05,Flubendazol,
P02CA06,Fenbendazol,
P02CA51,"Mebendazol, kombinationer",
P02CB,Piperazin och piperazinderivat,
P02CB01,Piperazin,
P02CB02,Dietylkarbamazin,
P02CC,Tetrahydropyrimidiner,
P02CC01,Pyrantel,
P02CC02,Oxantel,
P02CE,Imidazotiazolderivat,
P02CE01,Levamisol,
P02CF,Avermektiner,
P02CF01,Ivermektin,
P02CX,Övriga medel mot nematoder,
P02CX01,Pyrvin,
P02CX02,Befen,
P02D,Medel mot cestoder,
P02DA,Salicylsyraderivat,
P02DA01,Niklosamid,
P02DX,Övriga medel mot cestoder,
P02DX01,Desaspidin,
P02DX02,Diklorofen,
P03,"Medel mot ektoparasiter inkl skabbmedel, insektsdödande och repellerande medel",
P03A,Medel mot ektoparasiter inkl skabbmedel,
P03AA,Svavelhaltiga preparat,
P03AA01,Dixanthogen,
P03AA02,Potassium polysulfide,
P03AA03,Mesulfen,
P03AA04,Disulfiram,
P03AA05,Thiram,
P03AA54,Disulfiram kombinationer,
P03AB,Klorhaltiga preparat,
P03AB01,Clofenotane,
P03AB02,Lindan,
P03AB51,"Klofenotan, kombinationer",
P03AC,Pyretriner,
P03AC01,Pyretrint,
P03AC02,Bioalletrin,
P03AC03,Fenotrin,
P03AC04,Permetrin,
P03AC51,Pyretrin kombinationer,
P03AC52,"Bioalletrin, kombinationer",
P03AC53,"Fenotrin, kombinationer",
P03AC54,"Permetrin, kombinationer",
P03AX,Övriga medel mot ektoparasiter inkl skabbmedel,
P03AX01,Benzyl benzoate,
P03AX02,Copper oleinate,
P03AX03,Malation,
P03AX04,Quassia,
P03B,Insektsdödande och repellerande medel,
P03BA,Pyretriner,
P03BA01,Cyflutrin,
P03BA02,Cypermetrin,
P03BA03,Dekametrin,
P03BA04,Tetrametrin,
P03BX,Övriga insektsdödande och repellerande medel,
P03BX01,Dietyltoluamid,
P03BX02,Dimetylftalat,
P03BX03,Dibutylftalat,
P03BX04,Dibutylsuccinat,
P03BX05,Dimetylkarbat,
P03BX06,Etohexadiol,
R01AA,Adrenergika,
R01AA02,Cyklopentamin,
R01AA03,Efedrin,
R01AA04,Fenylefrin,
R01AA05,Oximetazolin,
R01AA06,Tetryzolin,
R01AA07,Xylometazolin,
R01AA08,Nafazolin,
R01AA09,Tramazolin,
R01AA10,Metizoline,
R01AA11,Tuaminoheptane,
R01AA12,Fenoxazoline,
R01AA13,Tymazoline,
R01AA14,Epinefrin,
R01AB,Adrenergika kombinationer exkl kortikosteroider,
R01AB01,Fenylefrin,
R01AB02,"Nafazolin, kombinationer",
R01AB03,Tetrahydrozolin,
R01AB05,Efedrin,
R01AB06,Xylometazolin,
R01AB07,Oximetazolin,
R01AB08,Tuaminoheptane,
R01AC,Antiallergika exkl kortikosteroider,
R01AC01,Natriumkromoglikat,
R01AC02,Levokabastin,
R01AC03,Azelastin,
R01AC04,Antazolin,
R01AC05,Spaglumic acid,
R01AC06,Thonzylamin,
R01AC07,Nedocromil,
R01AC51,"Natriumkromoglikat, kombinationer",
R01AD01,Beklometason,
R01AD02,Prednisolon,
R01AD03,Dexametazon,
R01AD04,Flunisolid,
R01AD05,Budesonid,
R01AD06,Betametason,
R01AD07,Tixokortol,
R01AD08,Flutikason,
R01AD09,Mometason,
R01AD11,Triamcinolon,
R01AD52,"Prednisolon, kombinationer",
R01AD53,"Dexametason, kombinationer",
R01AD57,"Tixocortol, kombinationer",
R01AD60,Hydrokortison kombinationer,
R01AX,Övriga medel vid nässjukdomar,
R01AX01,Calcium hexamine thiocyanate,
R01AX02,Retinol,
R01AX03,Ipratropiumbromid,
R01AX05,Ritiometan,
R01AX06,Mupirocin,
R01AX07,Hexamid,
R01AX08,Framycetin,
R01AX10,"Övriga avsvällande medel, näsdroppar",
R01AX30,Kombinationer,
R01B,Avsvällande medel perorala,
R01BA,Adrenergika,
R01BA01,Fenylpropanolamin,
R01BA02,Pseudoefedrin,
R01BA03,Fenylefrin,
R01BA51,Fenylpropanolamin kombinationer,
R01BA52,Pseudoefedrin kombinationer,
R01BA53,"Fenylefrin, kombinationer",
R02,Medel vid sjukdomar i strupe och svalg,
R02A,Medel vid sjukdomar i strupe och svalg,
R02AA,Antiseptika,
R02AA01,Ambazon,
R02AA02,Dekvalon,
R02AA03,Diklorbensylalkohol,
R02AA05,Klorhexidin,
R02AA06,Cetylpyridinium,
R02AA09,Benseton,
R02AA10,Myristylbensalkon,
R02AA11,Klorkinaldol,
R02AA12,Hexylresorcinol,
R02AA13,Akriflaviniumklorid,
R02AA14,Oxykinolin,
R02AA15,Povidone-iodine,
R02AA16,Benzalkonium,
R02AA17,Cetrimonium,
R02AA18,Hexamidin,
R02AA19,Fenol,
R02AA20,Övriga,
R02AB,Antibiotika,
R02AB01,Neomycin,
R02AB02,Tyrotricin,
R02AB03,Fusafungine,
R02AB04,Bacitracin,
R02AB30,Gramicidin,
R02AD,Lokalanestetika,
R02AD01,Bensokain,
R02AD02,Lidokain,
R02AD03,Kokain,
R02AD04,Dyklonin,
R03AA,Alfa- och beta-stimulerande medel,
R03AA01,Epinefrin,
R03AB,Beta-1- och beta-2-stimulerande medel,
R03AB02,Isoprenalin,
R03AB03,Orciprenalin,
R03AC03,Terbutalin,
R03AC04,Fenoterol,
R03AC05,Rimiterol,
R03AC06,Hexoprenalin,
R03AC07,Isoetarin,
R03AC08,Pirbuterol,
R03AC09,Tretokinol,
R03AC10,Karbuterol,
R03AC11,Tulobuterol,
R03AC12,Salmeterol,
R03AC14,Clenbuterol,
R03AC15,Reproterol,
R03AC16,Procaterol,
R03AC17,Bitolterol,
R03AH,Kombinationer av adrenergika,
R03AK01,Epinefrin och övriga medel vid obstruktiva luftvägssjukdomar,
R03AK02,Isoprenalin och övriga medel vid obstruktiva luftvägssjukdomar,
R03AK03,Fenoterol och övriga medel vid obstruktiva luftvägssjukdomar,
R03AK04,Salbutamol och övriga medel vid obstruktiva luftvägssjukdomar,
R03AK05,Reproterol och övriga medel vid obstruktiva luftvägssjukdomar,
R03AK07,Formoterol och övriga medel vid obstruktiva luftvägssjukdomar,
R03BA01,Beklometason,
R03BA03,Flunisolid,
R03BA04,Betametason,
R03BA05,Flutikason,
R03BA06,Triamcinolon,
R03BA07,Mometason,
R03BB01,Ipratropium,
R03BB02,Oxitropiumbromid,
R03BB03,Stramonimedel,
R03BB04,Tiotropiumbromid,
R03BC,Antiallergika exkl kortikosteroider,
R03BC01,Natriumkromoglikat,
R03BC03,Nedokromil,
R03BX,"Övriga medel vid obstruktiva luftvägssjukdomar, inhalationer",
R03BX01,Fenspiride,
R03C,Adrenergika för systemiskt bruk,
R03CA,Alfa- och beta-stimulerande medel,
R03CA02,Efedrin,
R03CB,Beta-1- och beta-2-stimulerande medel,
R03CB01,Isoprenalin,
R03CB02,Metoxifenadrin,
R03CB03,Orciprenalin,
R03CB51,"Isoprenalin, kombinationer",
R03CB53,"Orciprenalin, kombinationer",
R03CC,Selektiva beta-2-stimulerande medel,
R03CC02,Salbutamol,
R03CC03,Terbutalin,
R03CC04,Fenoterol,
R03CC05,Hexoprenalin,
R03CC06,Isoetarin,
R03CC07,Pirbuterol,
R03CC08,Prokaterol,
R03CC09,Tretokinol,
R03CC10,Karbuterol,
R03CC11,Tulobuterol,
R03CC12,Bambuterol,
R03CC13,Klenbuterol,
R03CC14,Reproterol,
R03CC53,"Terbutalin, kombinationer",
R03CK,Adrenergika och övriga medel vid obstruktiva luftvägssjukdomar,
R03DA,Xantinderivat,
R03DA01,Diprofyllin,
R03DA02,Kolinteofyllinat,
R03DA03,Proxifyllin,
R03DA04,Teofyllin,
R03DA05,Aminofyllin,
R03DA06,Etamifyllin,
R03DA07,Teobromin,
R03DA08,Bamifyllin,
R03DA09,Acefyllin piperazin,
R03DA10,Bufyllin,
R03DA11,Doxofyllin,
R03DA20,Kombinationer av xantinderivat,
R03DA51,"Diprofyllin, kombinationer",
R03DA54,"Teofyllin, kombinationer",
R03DA55,"Aminofyllin, kombinationer",
R03DA57,"Teobromin, kombinationer",
R03DA74,"Theofyllin, kombinationer med neuroleptika",
R03DB,Xantinderivat i kombination med adrenergika,
R03DB01,Diprofyllin och adrenergika,
R03DB02,Kolinteofyllinat + adrenergika,
R03DB03,Proxyfyllin och adrenergika,
R03DB04,Teofyllin + adrenergika,
R03DB05,Aminophylline and adrenergics,
R03DB06,Etamifyllin och adrenergika,
R03DC01,Zafirlukast,
R03DC02,Pranlukast,
R03DC04,Ibudilast,
R03DX01,Amlexanox,
R03DX02,Eprozinol,
R03DX03,Fenspiride,
R03DX06,Seratrodast,
R05CA,Expektorantia exkl mukolytika,
R05CA01,Tyloxapol,
R05CA02,Kaliumjod,
R05CA03,Guaifenesin,
R05CA04,Ipekakuanharot,
R05CA05,Altearot,
R05CA06,Senega,
R05CA07,Antimonpentasulfid,
R05CA08,Kreosot,
R05CA09,Guajakolsulfonat,
R05CA10,Kombinationer,
R05CA11,Levoverbenone,
R05CB01,Acetylcystein,
R05CB02,Bromhexin,
R05CB03,Karbocystein,
R05CB04,Eprazinon,
R05CB05,Mesna,
R05CB06,Ambroxol,
R05CB07,Sobrerol,
R05CB08,Domiodol,
R05CB09,Letostein,
R05CB10,Kombinationer,
R05CB11,Stepronin,
R05CB12,Tiopronin,
R05CB13,"Deoxyribonukleas i, rekombinant humant",
R05CB14,Neltenexin,
R05CB15,Erdostein,
R05DA01,Etylmorfin,
R05DA03,Hydrokon,
R05DA04,Kodein,
R05DA05,Opiumalkaloider med morfin,
R05DA06,Normetadon,
R05DA07,Noskapin,
R05DA09,Dextrometorfan,
R05DA10,Tebakon,
R05DA11,Pipazetat,
R05DA12,Acetyldihydrokodein,
R05DA20,Kombinationer,
R05DB01,Benzonatat,
R05DB02,Benproperin,
R05DB04,Isoaminil,
R05DB05,Pentoxiverin,
R05DB07,Oxolamin,
R05DB09,Oxeladin,
R05DB10,Klofedanol,
R05DB11,Pipazetate,
R05DB12,Bibenzonium bromide,
R05DB13,Butamirate,
R05DB14,Fedrilate,
R05DB15,Zipeprol,
R05DB16,Dibunate,
R05DB17,Droxypropine,
R05DB18,Prenoxdiazine,
R05DB19,Dropropizine,
R05DB20,Kombinationer,
R05DB21,Cloperastine,
R05DB22,Meprotixol,
R05DB23,Piperidion,
R05DB24,Tipepidin,
R05DB25,Morklofon,
R05DB26,Nepinalone,
R05DB27,Levodropropizin,
R05DB28,Dimethoxanate,
R05F,Hosthämmande medel i kombination med expektorantia,
R05FA,Centralt verkande medel i kombination med expektorantia,
R05FA01,Centralt verkande medel och expektorantia inkl mukolytika,
R05FA02,Centralt verkande medel + expektorantia exkl mukolytika,
R05FB,Övriga hosthämmande medel och expektorantia,
R05FB01,Hosthämmande medel och mukolytika,
R05FB02,Hosthämmande medel och expektorantia exkl.mukolytika,
R05X,Övriga hostmedel,
R06AA,Aminoalkyletrar,
R06AA01,Bromdifenhydramin,
R06AA02,Dimenhydrinat,
R06AA04,Klemastin,
R06AA06,Klorfenoxamin,
R06AA07,Difenylpyralin,
R06AA08,Karbinoxamin,
R06AA09,Doxylamine,
R06AA52,"Difenhydramin, kombinationer",
R06AA54,"Klemastin, kombinationer",
R06AA56,"Klorfenoxamin, kombinationer",
R06AA57,"Difenylpyralin, kombinationer",
R06AB,Alkylaminer substituerade,
R06AB01,Bromfeniramin,
R06AB02,Dexklorfeniramin,
R06AB03,Dimetinden,
R06AB04,Klorfeniramin,
R06AB05,Feniramin,
R06AB06,Dexbromfeniramin,
R06AB07,Talastine,
R06AB51,"Bromfeniramin, kombinationer",
R06AB52,"Dexklorfeniramin, kombinationer",
R06AB54,"Klorfeniramin, kombinationer",
R06AB56,"Dexbromfeniramin, kombinationer",
R06AC,Etylen och propylenderivat,
R06AC01,Mepyramin,
R06AC02,Histapyrrodin,
R06AC03,Kloropyramin,
R06AC04,Tripelenamin,
R06AC05,Metapyrilen,
R06AC06,Tonzylamin,
R06AC52,"Histapyrrodin, kombinationer",
R06AC53,"Kloropyramin, kombinationer",
R06AD,Fentiazinderivat,
R06AD01,Alimemazin,
R06AD02,Prometazin,
R06AD03,Tietylperazin,
R06AD04,Metdilazin,
R06AD05,Hydroxietylprometazin,
R06AD06,Tiazinam,
R06AD07,Mekitazin,
R06AD08,Oxomemazin,
R06AD09,Isotipendyl,
R06AD52,Prometazin kombinationer,
R06AD55,Hydroxietylprometazin kombinationer,
R06AE01,Buklizin,
R06AE03,Cyklizin,
R06AE04,Klorcyklizin,
R06AE05,Meklozin,
R06AE06,Oxatomid,
R06AE08,Levocetirizin,
R06AE09,Levocetirizin,
R06AE51,"Buklizin, kombinationer",
R06AE53,"Cyklizin, kombinationer",
R06AE55,Meklozin kombinationer,
R06AK,Kombinationer av antihistaminer,
R06AX01,Bamipin,
R06AX02,Cyproheptadin,
R06AX03,Tenalidin,
R06AX04,Fenindamin,
R06AX05,Antazolin,
R06AX07,Triprolidin,
R06AX08,Pyrrobutamin,
R06AX09,Azatadin,
R06AX11,Astemizol,
R06AX15,Mebhydrolin,
R06AX16,Deptropin,
R06AX17,Ketotifen,
R06AX18,Akrivastin,
R06AX19,Azelastine,
R06AX21,Tritoqualine,
R06AX22,Ebastin,
R06AX23,Pimethixene,
R06AX24,Epinastine,
R06AX26,Fexofenadin,
R06AX28,Rupatadin,
R06AX53,Tenalidin kombinationer,
R06AX58,"Pyrrobutamin, kombinationer",
R07AA,Ytaktiva medel,
R07AA01,Kolfoskerilpalmitat,
R07AA02,Naturliga fosfolipider,
R07AA30,Kombinationer,
R07AB,Andningsstimulerande medel,
R07AB01,Doxapram,
R07AB02,Niketamid,
R07AB03,Pentetrazol,
R07AB04,Etamivan,
R07AB05,Bemegrid,
R07AB06,Pretkamid,
R07AB07,Almitrin,
R07AB08,Dimeflin,
R07AB09,Mepixanox,
R07AB52,"Niketamid, kombinationer",
R07AB53,"Pentetrazol, kombinationer",
S01AA,Antibiotika,
S01AA01,Kloramfenikol,
S01AA02,Klortetracyklin,
S01AA03,Neomycin,
S01AA04,Oxytetracyklin,
S01AA05,Tyrotricin,
S01AA07,Framycetin,
S01AA09,Tetracyklin,
S01AA10,Natamycin,
S01AA11,Gentamicin,
S01AA12,Tobramycin,
S01AA13,Fusidinsyra,
S01AA14,Bensylpenicillin,
S01AA15,Dihydrostreptomycin,
S01AA16,Rifamycin,
S01AA17,Erytromycin,
S01AA18,Polymyxin B,
S01AA19,Ampicillin,
S01AA20,Kombinationer,
S01AA21,Amikacin,
S01AA22,Micronomicin,
S01AA23,Netilmicin,
S01AA24,Kanamycin,
S01AA25,Azidamfenikol,
S01AA30,Kombinationer av olika antibiotika,
S01AB,Sulfonamider,
S01AB01,Sulfametizol,
S01AB02,Sulfafurazol,
S01AB03,Sulfadikramid,
S01AB04,Sulfacetamid,
S01AB05,Sulfafenazol,
S01AD01,Idoxuridin,
S01AD02,Trifluridin,
S01AD03,Aciklovir,
S01AD05,Interferon,
S01AD06,Vidarabin,
S01AD07,Famciklovir,
S01AD09,Ganciklovir,
S01AX01,Kvicksilverföreningar,
S01AX02,Silverföreningar,
S01AX03,Zinkföreningar,
S01AX04,Nitrofural,
S01AX05,Bibrokatol,
S01AX06,Resorcinol,
S01AX07,Natriumborat,
S01AX08,Hexamidin,
S01AX09,Klorhexidin,
S01AX10,Natriumpropionat,
S01AX11,Ofloxacin,
S01AX13,Ciprofloxacin,
S01AX14,Dibrompropamidin,
S01AX15,Propamidin,
S01AX16,Picloxydine,
S01AX17,Lomefloxacin,
S01AX18,Povidon-jod,
S01AX19,Levofloxacin,
S01AX21,Gatifloxacin,
S01AX22,Moxifloxacin,
S01BA02,Hydrokortison,
S01BA03,Kortison,
S01BA04,Prednisolon,
S01BA05,Triamcinolon,
S01BA06,Betametason,
S01BA07,Fluormetolon,
S01BA08,Medryson,
S01BA09,Klobetason,
S01BA10,Alklometason,
S01BA11,Desonide,
S01BA12,Formokortal,
S01BA13,Rimexolon,
S01BA15,Fluocinolon acetonid,
S01BB,Glukokortikoider + adrenergika,
S01BB01,Hydrokortison + adrenergika,
S01BB02,Prednisolone and mydriatics,
S01BB03,Fluorometholone and mydriatics,
S01BB04,Betamethasone and mydriatics,
S01BC01,Indometacin,
S01BC02,Oxifenbutazon,
S01BC03,Diklofenak,
S01BC04,Flurbiprofen,
S01BC05,Ketorolak,
S01BC06,Piroxicam,
S01BC07,Bendazak,
S01BC08,Salicylsyra,
S01BC09,Pranoprofen,
S01C,Antiinflammatoriska och antiinfektiva medel i kombination,
S01CA,Antiinflammatoriska och antiinfektiva medel i komb.,
S01CA01,Dexametason och antiinfektiva medel,
S01CA02,Prednisolon + antiinfektiva,
S01CA03,Hydrokortison + antiinfektiva,
S01CA04,Fluokortolon och antiinfektiva medel,
S01CA05,Betametason och antiinfektiva medel,
S01CA06,Fludrokortison och antiinfektiva medel,
S01CA07,Fluormetolon och antiinfektiva medel,
S01CA08,Metylprednisolon och antiinfektiva medel,
S01CA09,Klorprednison och antiinfektiva medel,
S01CA10,Fluocinolone acetonide and antiinfectives,
S01CA11,Clobetasone and antiinfectives,
S01CB,Antiinflammatoriska och antiinfektiva medel i kombination med adrenergika,
S01CB01,Dexametason,
S01CB02,Prednisolon,
S01CB03,Hydrocortisone,
S01CB04,Betamethasone,
S01CB05,Fluorometholone,
S01CC,"Antiinflammatory agents, non-steroids and antiinfectives in combination",
S01CC01,Diclofenac and antiinfectives,
S01EA,Sympatomimetika,
S01EA01,Epinefrin,
S01EA02,Dipivefrin,
S01EA03,Apraklonidin,
S01EA04,Clonidine,
S01EA05,Brimonidin,
S01EA51,"Adrenalin, kombinationer",
S01EB,Parasympatomimetika,
S01EB01,Pilokarpin,
S01EB02,Karbakol,
S01EB03,Ekotiopat,
S01EB04,Demekar,
S01EB05,Fysostigmin,
S01EB06,Neostigmin,
S01EB07,Fluostigmin,
S01EB08,Aceklidin,
S01EB09,Acetylkolin,
S01EB10,Paraoxon,
S01EB51,Pilokarpin kombinationer,
S01EB58,"Aceklidin, kombinationer",
S01EC01,Acetazolamid,
S01EC02,Diklofenamid,
S01EC03,Dorzolamid,
S01EC05,Metazolamid,
S01ED01,Timolol,
S01ED02,Betaxolol,
S01ED03,Levobunolol,
S01ED04,Metipranolol,
S01ED05,Karteolol,
S01ED06,Befunolol,
S01ED52,"Betoxalol, kombinationer",
S01ED54,"Metipranolol, kombinationer",
S01ED55,"Karteolol, komb",
S01EE02,Unoproston,
S01EX,Övriga medel vid glaukom samt miotika,
S01EX01,Guanetidin,
S01EX02,Dapiprazol,
S01EX04,Unoproston,
S01EX05,Bimatoprost,
S01EX06,Travoprost,
S01F,Mydriatika och cykloplegika,
S01FA,Antikolinergika,
S01FA01,Atropin,
S01FA02,Skopolamin,
S01FA03,Metylskopolamin,
S01FA04,Cyklopentolat,
S01FA05,Homatropin,
S01FA06,Tropikamid,
S01FA56,"Tropikamid, kombinationer",
S01FB,"Sympatomimetika, exkl medel vid glaukom",
S01FB01,Fenylefrin,
S01FB02,Efedrin,
S01FB03,Ibopamin,
S01GA,Sympatomimetika som avsvällande medel,
S01GA01,Nafazolin,
S01GA02,Tetryzolin,
S01GA03,Xylometazolin,
S01GA04,Oximetazolin,
S01GA05,Fenylefrin,
S01GA06,Oxedrine,
S01GA51,"Nafazolin,kombinationer",
S01GA52,"Tetryzolin, kombinationer",
S01GA53,"Xylometazolin, kombinationer",
S01GA55,"Fenylefrin, kombinationer",
S01GA56,"Oxedrin, kombinationer",
S01GX01,Natriumkromoglikat,
S01GX02,Levokabastin,
S01GX03,Spaglumic acid,
S01GX04,Nedokromil,
S01GX05,Lodoxamid,
S01GX07,Azelastin,
S01GX08,Ketotifen,
S01GX10,Epinastin,
S01GX51,"Kromoglikat, kombinationer",
S01H,Lokalanestetika,
S01HA,Lokalanestetika,
S01HA01,Kokain,
S01HA02,Oxibuprokain,
S01HA03,Tetrakain,
S01HA04,Proximetakain,
S01HA05,Prokain,
S01HA06,Cinkokain,
S01HA07,Lidokain,
S01HA30,kombinationer,
S01J,Diagnostika,
S01JA,Färgämnen,
S01JA01,Fluorescein,
S01JA02,Rose bengale natrium,
S01JA51,"Fluorescein, kombinationer",
S01JX,Övriga diagnostiska medel,
S01K,Hjälpmedel vid ögonoperationer,
S01KA,Viskoelastiska substanser,
S01KA01,Hyaluronsyra,
S01KA02,Hypromellos,
S01KA51,"Hyaluronsyra, kombinationer",
